score,sentence1,sentence2
1,Is it legal to grow?,"Yes, it's legal to grow."
0,"pressing one does not ""do"" english.",Pressing one does send a tone.
1,What's my opinion regarding the series?,What was my opinion of Firefly in the interim?
2,We are all vessels filled with many wonders.,Chuck Close We are all vessels filled with many wonders.
0,Does he have supporters?,He definently has supporters.
1,"but okay, ultimate sovereignty?","Thus, ultimate sovereignty."
2,that is not an answer.,"no, it's not an answer."
1,The Nazis increases the longevity of a handgun permit from  to  years.,The Nazis lowered the minimum age to buy a firearm from  to .
2,But we can't do it without help.,"We can't do it without you."""
0,No healthy person needs gambling.,No healthy person needs sex.
0,"I said it wasn't a person, in the legal sense.","If it isn't a person, then WTF is it?"
0,Do you see Obama calling for regulation reform?,"Do you see Obama calling for Cut, Cap and Balance?"
2,"""Leprechauns don't exist"" - fine.","""Elves don't exist"" - fine."
0,Got some Heine and coors light i started it last night xanis.,i started it last night xanis.
2,Iran is also a signed of the NPT and the IAEA.,"Gotta love the EK factoid that ""Iran is also a signed of the NPT and the IAEA."
0,"""Gorgons don't exist"" - fine.","""Satyrs don't exist"" - fine."
2,"Best way to get money out is to get rid of lobby, all of it.",Best way to turn it on its head is to get money out.
2,"I have  years of ""Neener Neener"" rights Usually I get pretty decent care.","I have  years of ""Neener Neener"" rights they are crack ups."
2,Dutchy Has anyone heard from Dutchy?,"@NickFun, Has anyone heard from Dutchy?"
2,"Commodity Expanded Value-Form, .",Elementary Commodity-Capital Value-Form .
0,You are a Christian.,Therefore you are not a Christian.
2,And the simple fact today?,I repeat: And the simple fact today?
0,Morals have absolutely nothing to do with it !,and morals and honesty have everything to do with it.
0,"""Oh, you're such a good person!","You're such a bad person!"""
2,Fern I think stories like this are stupid.,- wolf I think stories like this are stupid.
2,CYCLONE FORMATION IS NOT EXPECTED DURING THE NEXT  HOURS.,TROPICAL CYCLONE FORMATION IS NOT EXPECTED.
0,Do you not understand what that string of words means?,Do you not understand what the word 'led' implies?
0,There is no freedom of religion.,There is no freedom of speech.
1,Originally Posted by SolInvictus The messahe of all the scriptures is oneness.,Originally Posted by SolInvictus Ah.
2,How long after the obliteration should the kid return to school?,How long after the obliteration should it no longer bother the kid?
2,A man and a woman are different yes.,Men and women are different yes?
1,Double Jeopardy actually enforces a jury nullification.,As far as legality goes I can use jury nullification.
0,Facilitator : Show me the smart child.,Facilitator : And why is she the dumb child?
2,religious fiction Isn't that redundant and repetetive?,Isn't that redundant and repetetive?
0,Originally Posted by anabelle What's wrong with that?,Originally Posted by Vienna To 'say' what?
0,Cracklin' Rosie by Neil Diamond We are all vessels filled with many wonders.,Jingle Bell Rock by Bobby Helm We are all vessels filled with many wonders.
0,Some people have complete confidence in the people running these institutions.,Other people have no confidence at all in teh people running these institutions.
1,loose change started out as a work of fiction.,It finished as a work of fiction.
2,"If it wasn't a life, then it would not be able to be born.","If it wasn't alive, then it would miscarriage on it's own."
1,"GL, Terral That is absolutely amazing.",Hi Ollie: That is absolutely amazing.
2,lets assume we have % white and % black.,Imagine a place that's % white and % black.
1,Freedom of speech has consequences!,If freedom of speech has consequences then it is not free.
0,"""Fairies don't exist"" - fine.","""Leprechauns don't exist"" - fine."
2,"If so, state that is why they're not true.","Please, what about them are not true."
1,-Not- talking about it 'and' -Not- doing anything.,is even worse than talking about it and not doing anything.
0,"""Being against nukes"" does not mean ""not wanting to use nukes"".","""Being against using nukes"" means ""not wanting to use nukes""."
0,My niece is married to a black man.,My great niece is half black.
0,The UK population is just over  million.,The Japanese population is nearly  million.
2,I Shot the Sheriff We are all vessels filled with many wonders.,We are all vessels filled with many wonders.
0,I hope this is nothing.,I hope everything is ok!
2,The money I spent adopting Velociraptor.,Those may be my top . The money I spent adopting Velociraptor.
2,"So, you actually believe every word of what Terral wrote?","GL, Terral Hi Corn: So, you actually believe every word of what Terral wrote?"
0,What isn't how what was sold?,"It's not how it was sold, gb."
2,I know I'd hate to be him.,I'd hate to be him too.
2,there were no weapons.,Of course there were no weapons.
2,It's so stupid that it just has to be true.,It's amusing to think it even might be true.
2,Personal responsibility much?,"Again, personal responsibility."
2,Do you notice the nonsensical things you are saying?,"And to be fair, do you notice the nonsensical things you are saying?"
1,I guess I pulled it out of the census's rear end in a top hat.,Does the census have an rear end in a top hat?
2,How is this slanted against Bush??,Where is the slant against Bush?
2,If it wasn't bollocks it wouldn't be homeopathy.,That's simple logic If it wasn't bollocks it wouldn't be homeopathy.
0,"I've never accused him of over-milligraming, nothing.",I've never accused him of doctoring a baseball.
2,The bailout was bigger than TARP Bloomberg news.,The bailout was bigger than TARP This title is misleading.
0,My parents have told me it is bad for you.,officers have told me its bad for you.
0,His position is that it is the individual's risk to assume.,His position is the way it is currently.
0,I. ATLANTIC REQUIREMENTS .,PACIFIC REQUIREMENTS .
2,Read More: You have never met anyone that is Pro-Abortion?,You have never met anyone that is Pro-Abortion?
0,I have no problem with those that have money!,"I have many problems with these men, way to many to state here!"
0,"Nixon, Ford and Carter shut down the oilfields?",No has has shut down the oil fields.
0,i don't want a president who 'cares'.,i don't want a president who is charasmatic.
0,It doesn't have to be braindead.,I don't have a proposed model.
2,no missile evidence.,no missile witnesses.
1,My teachers have told me it is bad for you.,officers have told me its bad for you.
2,"My gosh, I'm the one with the pregnancy ticker.",I have the pregnancy ticker.
0,Then he is not omnipotent.,Then he is malevolent.
2,"tin foil hat for the dog face, what size do u wear?","tin foil hat for the sarg, what size do u wear?"
2,Like this  year old who was shot dead in a marijuana-related crime.,Or the  year old boy shot dead with automatic weapons by marijuana dealers.
1,"If you leap up to make a hit, you're getting a penalty.","If your stick hits a guy in the face, you're getting a penalty."
1,ALL of the electrical energy comes from the battery.,ALL of the electrical energy ultimately comes from the alternator.
1,Do you know how many passengers testified or what they said?,How many passengers said they saw an iceberg?
0,Imagine a place with % men and % women.,Imagine a place that's % white and % black.
0,Scenario A assumes that the CO growth rate accelerates by .%/yr.,It assumes that methane growth rate accelerates by .%/yr.
2,They have actually showed a cooling trend since  due to the recent decline.,get a cooling trend from  because of the recent decline.
2,We are all vessels filled with many wonders.,Landon Memory from CATS We are all vessels filled with many wonders.
2,to repeat: They are NOT as sovereign as they were before.,They are NOT as sovereign as they were before.
2,"Out of touch and completely untrustworthy, however, wouldn't.",Out of touch and untrustworthy?
2,It is mostly just the Dutch.,"In fact, it's just the Dutch."
2,"We're talking about angels and common pins again, right?","@Lustig Andrei, We're talking about angels and common pins again, right?"
1,claims about trayvon's character And when did I do that?,slanted blogs And when did I do that?
1,% How much money does PP take in for abortion services?,How much is spent on abortions services?
1,Why did that transaction take place.,Did the transaction take place?
1,There is no more egg cell post-fertilization.,There is no more sperm cell.
2,Lacey - welcome back!,"Anyway, welcome back."
2,"More factchecking: I don't know why anyone is making a fuss over the $, bet.","I don't know why anyone is making a fuss over the $, bet."
1,"If you haven't made any claims, then just say so.",I haven't made any claims.
1,No Thatcherite can ever call themselves a libertarian.,Ergo it offends me when Thatcherites call themselves libertarian.
1,the problem isn't who has money.,the problem is who doesn't have money.
1,But do you actually believe there was an iceberg in those waters?,I don't believe there was any iceberg at all anywhere near the Titanic.
2,not astros or orioles bad Gameday for the orioles game is frozen for me.,Gameday for the orioles game is frozen for me.
1,"If so, alot of cops should take presciption drugs.","If so, alot of inventors, writers should take prescription drugs.."
2,Tell us what the charges were.,Yes what are his charges.
0,Those are partial psychopaths.,Was Ted Bundy a partial psychopath?
2,those who ignore history are doomed to repeat it.,ooo strike TWO those who ignore history are doomed to repeat it.
1,this is NOT a war deployment.,its not an official deployment.
2,Nutrax The plural of anecdote is not data Did gentlemen need chaperones?,Nutrax The plural of anecdote is not data
2,Alright just got in.,not well Alright just got in.
2,h and i both read the books and thought the movie moved so quickly.,"I haven't read the books, but I saw the movie today."
1,"That's not the Moloch scene, though.",This is the Moloch scene.
2,"@Lustig Andrei, So Lyndon Johnson and John Kennedy were compatible?","@edgarblythe, So Lyndon Johnson and John Kennedy were compatible?"
0,You need to make up your mind.,You need to polish up on your logic skills.
0,The one that has  walks home afterwards and goes to sleep.,The one that has three walks home and beats his wife.
2,- Admin DrPizza and i'd forgotten what a whiny little bed wetter you are.,and i'd forgotten what a whiny little bed wetter you are.
2,"The argument was ""Albert Einstein didn't go to college"".","OMG, ""Einstein didn't go to college."""
1,"Capital gains, top rate:  percent.","Income tax, top rate:  percent."
0,Bienging is unaccptable.,Being drunk is unacceptable.
2,He hasn't been funny in years.,He hasn't been funny since Larry Bud Melman was on the show.
1,"If the universe has an explanation of its existence, that explanation is God.","Therefore, the universe has an explanation of its existence."
2,What do we get in return for doing the fighting for them?,------ ----------- What do we get in return for doing the fighting for them?
0,It wouldn't stop joke marriages.,And I don't fight for marriage.
1,"If they were Jews, I would call them Jews.","If they were Catholics, I would call them Catholics."
2,She was a great lady.,She was a nice lady.
0,He's not wealthy because he's successful.,Why hate people because they are successful?
0,Not as irritated as you.,You seem as irritated as Henry.
1,It's a common sense/deductive reasoning thing.,Hilited your common sense/deductive reasoning thing.
0,You already did that - we have a Muslim in office right now.,-CryptoLutheran No. We have a Christian in office right now.
2,I said she has not ever had to be a part of any workforce.,Ann Romney has never had to get out and be a part of the workforce.
2,DreamTech never been ejaculated on as far as I know.,It has never been ejaculated on as far as I know.
0,I didn't say we had gotten soft since / Rand.,I said YOU had gotten soft.
2,We all believe that we are getting what we expect.,"Most times, % of the time, we are getting what we expect."
2,"Despicable Ben, Stop trying to find excuses for the man.","Ben, Stop trying to find excuses for the man."
2,Unless it's different in different countries?,"So, short form, yes, it probably is different in different countries."
1,The new study does not support your claim.,The physical evidence does not support your claim.
2,He said at EVERY level.,But he said EVERY level.
1,"morals do not exist, so technically nothing can be morally wrong.",I ask again if God does not exist can anything be morally wrong?
2,I thought that was mostly just the Dutch.,It is mostly just the Dutch.
2,Toyland by Johnny Mathis We are all vessels filled with many wonders.,Eye of the Tiger We are all vessels filled with many wonders.
2,Let's let this play out in court.,Nothing is stopping this thing from playing out in court.
0,Being in a gang isnt a crime.,Commiting a crime in a gang is a crime.
2,I'd offer Iran a deal.,Chuck I'd offer Iran a deal.
0,"Yes, they are both different.",Opinions are different.
0,It's not imposing morals.,It's imposing a law.
2,Has Annie ever used her sexuality like that?,One word: Zombies Has Annie ever used her sexuality like that?
1,PURE COMMUNISM: You have two cows.,LIBERTARIAN/ANARCHO-CAPITALISM: You have two cows.
2,You should put scientists on a pedestal.,Why do people like you put scientist on a pedestal?
2,What are they trying to hide?,I then asked: What are they trying to hide?
2,That would make you partially responsible for their death.,"That would make you a sort of accessory, I think."
0,"""Would you like to pay for others health care?""","""Would you like to wear your seatbelt?"""
2,They are NOT as sovereign as they were before.,to repeat: They are NOT as sovereign as they were before.
0,I don't see Obama as the lesser of two evils.,I don't see him as evil at all.
2,Or this one by Jim Croce We are all vessels filled with many wonders.,We are all vessels filled with many wonders.
2,The point is an unarmed child was murdered.,The point is an unarmed child was murdered who was black.
0,"Zimmerman replied, ""What are you doing here?""","Martin said, ""Why are you following me?"""
0,Irreligion that does that I have a problem.,Religion that doesn't do that I don't have a problem with.
2,"If I'm angry, it will show up in one of those scans..","If I'm hyper active, it will show up in one of those scans.."
0,"If you want to buy $ billion in XYZ Inc. common stock, who cares?","If you want to buy a house or a SUV, again, who cares?"
0, billion . Everyone in the world at Mexico's current prosperity level.,"Everyone in the world at the current ""prosperity"" level of Northwest Africa."
2,If you answer yes to  and no to  you are probably straight.,If you answer no to  but yes to  then you are probably straight.
2,Sometimes I fantasize about having power.,"Sometimes I, too, fantasise about bending people before my demented will."
1,My parents have told me it is bad for you.,My Sheriff has told me its bad for you.
2,Atlas Shrugged It's also a stellar performer in terms of blithering idiocy.,It's also a stellar performer in terms of blithering idiocy.
1,How would Martin not know that that was not the case?,How would Martin or anyone else know his intentions based on his actions?
1,Regulation get the government into everything.,"""Get the government into everything?"""
1,It's a common sense/deductive reasoning thing.,Hilited your common sense/deductive reasoning thing.
1,"Yes, I've assumed that all packaging would be recyclable in my argument.",I've assumed this as well in my argument.
2,Jury nullification does not mean that a law is unconstuitutional.,Jury nullification means a law isn't Constitutional?
1,It's just a bunch of cells.,"I'm ""a bunch of cells."""
0,Mann's work was all about math.,Mann's work and the HS was all about Tree rings.
2,I'm so sorry to hear this Kelly.,"I'm so sorry, Kelly."
2,I don't like flavored beers.,I don't like many flavored drinks.
0,I hope everything is ok!,I hope your LO is ok.
0,any woman that wants birth control can get it.,Any woman that wants and abortion can get one.
2,S As you wish: Do you see Hitler killing Jews?,Do you see Hitler killing Jews?
2,And I'm your friend Mitt.,Your good friend Mitt.
0,It means its AN option.,Doesnt mean its a BAD option.
2,I think you need to reread what I wrote.,You need to reread what I wrote.
2,lets assume we have % white and % black.,Imagine a place that's % white and % black.
0,"Mom busted in and said, ""What's that noise?""",My kids busted in and said 'whats that Dad?'
2,"My best, Kutte My ex-fiance wouldn't use the VA or Navy doctor's.",Jay My ex-fiance wouldn't use the VA or Navy doctor's.
1,Holder filed a three-page letter.,The Judges orders a three-page letter to be filed.
1,"@Lustig Andrei, Lustig, agreed.","@Lustig Andrei, Thank you, Lustig."
2,This eclipses the old record of  set in .,This breaks the daily record of  set in .
0,"Zimmerman replied, ""What are you doing here?""","Martin said, ""Why are you following me?"""
0,"I don't know how legitimate this is, but I heard he's kind of suicidal.","So, I don't know how legitimate this is but yeah."
2,council tax Hasn't council tax been frozen for most people?,Hasn't council tax been frozen for most people?
0,Your schtick is getting stale.,Your misogyny is getting messy.
0,Is that how it works?,"Nah, that's not how it works."
2,"Breathe In, Breathe Out, Move On.","buwhahahaha Breathe In, Breathe Out, Move On."
2,wait until they become more consistent and closer together.,wait for the contractions to get stronger and closer together.
2,Obama is extreme and leftwing.,Obama is part of the extreme leftwing.
1,"@Frank Apisa, What you want to call it is up to you.","@Cyracuz, What you want to call it is up to you."
1,Jury nullification has NOTHING to do with the Constitutionality of laws.,Jury nullification means a law isn't Constitutional?
2,What conviction where you talking about before?,What conviction would that be?
2,So I actually read the OP and guess what I found out.,Furthermore I found this: So I actually read the OP and guess what I found out.
2,The government does not determine if you are married or not.,The government doesnt have to declare you married before you can be married.
0,Democracy is a threat to liberty.,Democracy has nothing to do with liberty.
2,Hi Pro and Corn: How many threads do you plan on making?,How many threads do you plan on making?
2,Tell me exactly which system isn't working right now?,So which system isn't working for us?
2,"Oh, and again asserts that marriage is a fundamental human right.",Particularly after stating that marriage is a fundamental human right.
2,Why are Russians in Damascus?,Russians in Damascus!
0,"Yes, it's about dilution.","Er, that's not how dilution works."
2,"Yeah, I don't think this is that controversial either.",I don't think what she's saying is that controversial.
2,Operation Chaos is merely people voting.,Chaos is merely people voting.
0,Originally Posted by JonD Doubtful.,Originally Posted by eleanor.ellis
2,Classical Gas We are all vessels filled with many wonders.,The theme song to Cheers: We are all vessels filled with many wonders.
2,to repeat: They are NOT as sovereign as they were before.,They are NOT as sovereign as they were before.
0,Morals have absolutely nothing to do with it !,and morals and honesty have everything to do with it.
2,i be having conversations will cornell west My dear brother.,i be having conversations will cornell west What the hell is this?
2,There is no war in the Middle east.,"There is no ""WAR"" in the middle east."
1,He had no intention of apprehending him.,- I didnt say he planned on apprehending him.
2,We are all vessels filled with many wonders.,Put a Little Love in your Heart We are all vessels filled with many wonders.
1,"You're ""a bunch of cells.""","I'm ""a bunch of cells."""
0,What is a girl douche?,You are a girl douche.
0,Jury nullification means a law isn't Constitutional?,No. Jury nullification does not mean that a law is unconstuitutional.
2,It's definitely NOT what it used to be.,voted Voted It's definitely NOT what it used to be.
2,The onus is on the manufacturer of a product to convince consumers it is safe.,The manufacturer has to convince the government it's safe.
0,I think you are missing the point with entrepreneurs.,Again I think you are missing the point on the Twain quote.
0,"""Cyclopes don't exist"" - fine.","""Goblins don't exist"" - fine."
0,"""In  it was a mental illness, now what are they teaching you?""","He stated that it was a mental illness in , how is that bigotry?"
0,Landon And So This is Christmas We are all vessels filled with many wonders.,Play With Fire We are all vessels filled with many wonders.
0,Bush gets zero credit for the budget under him.,"And, Obama gets zero credit for the budget under him."
0,. Sinful people do not get to heaven.,Or sin is removed upon entry to heaven.
2,How long after the obliteration should the kid return to school?,How long after the obliteration should it no longer bother the kid?
2,Holly Holy We are all vessels filled with many wonders.,Say What You Will We are all vessels filled with many wonders.
0,"What was the ""answer"" in Chicago?",What will be the response in California?
2,The entire thing just makes no sense.,See that makes no sense.
2,Who supposedly operated the homicidal gas chambers?,Refresh your memory: Who supposedly operated the homicidal gas chambers?
2,"Therefore, the explanation of the existence of the universe is God.","If the universe has an explanation of its existence, that explanation is God."
0,Genetic predisposition to cancer resistance is superior genetics.,Genetic predisposition to Alzheimer is inferior genetics.
2,Do you notice the nonsensical things you are saying?,"And to be fair, do you notice the nonsensical things you are saying?"
0,Use of force in defense of person.-A,Use of force by aggressor.
2,That's what the data available shows.,That's what the historical record shows.
2,Joy to the World We are all vessels filled with many wonders.,The theme song to Cheers: We are all vessels filled with many wonders.
1,I thought that was mostly just the Dutch.,"In fact, it's just the Dutch."
1,Ive watched kids play.,I like watching kids play.
2,"David @OmSigDAVID, I think Santorum's more likely than Gingrich.","@sozobe, I think Santorum's more likely than Gingrich."
1,They're looking at each other!,Why are they looking at each other like that ?!?!
1,Are you driving one?,Are you driving a fucking Volt?
0,Religion that does that I have a problem with.,Irreligion that doesn't do that I don't have a problem with.
0,I think he'd be better for American business interests overall.,Would he be better for American society?
2,not a constitutional issue.,"again, this is not a constitutional issue."
2,YOU FOOLS..bought the  cover-up..hook..,Hi Eots: YOU FOOLS..bought the  cover-up..hook..
0,"""What does pressing the number one do?""","""Pressing the number one does English."""
2,What conviction would that be?,What conviction where you talking about before?
2,"Originally Posted by spikdboy Not wishful thinking, rather realistic.","Originally Posted by objectivism Not wishful thinking, rather realistic."
2,"For the trillionth time, I've never said rehabilitation doesn't work.","The point you quote should say ""I never said rehabilitation could never work."""
2,Charlie Rangel Censured Did anyone see the footage of this?,Did anyone see the footage of this?
0,Red October standing by.,Red Fox standing by.
2,That's just not how legal briefs are written.,That just isn't how legal reasoning works.
2,"No, none of those factors account for the recent warming.","You don't know if those factors account for the warming, or not."
2,Stone notified Captain Lord.,He too notified Captain Lord.
1,"The primary focus of Systematic Dialectics is syn chronic, not dia chronic.","Thus, Meta - System - atic Dialectic is Diachronico - Synchronic Dialectic."
1,Are you driving one?,Are you driving a fucking Volt?
0,And that is happening in GOP controlled states.,Michigan IS a GOP controlled state.
2,in  Foxe basin was frozen., Foxe was mostly frozen.
2,"@Frank Apisa, Frank, I observe and perceive.","@cicerone imposter, Frank, I observe and perceive."
0,"Government deciding what pregnancies need to be carried to term, that's fine.","Government spying on its own citizens, that's fine."
1,Put a Little Love in your Heart We are all vessels filled with many wonders.,Landon And So This is Christmas We are all vessels filled with many wonders.
0,Higher than  per cent but not very high.,Lower than  per cent but not very low.
0,What isn't how what was sold?,"It's not how it was sold, gb."
1,God definately does not exist.,God probably does not exist.
2,"Breathe In, Breathe Out, Move On.","buwhahahaha Breathe In, Breathe Out, Move On."
0,It is an excellent indicator of climate change.,I think we all agree on the nature of the change.
0,The great thing about living here is there's space.,The bad thing is there's space.
2,"Ah ha, ha, ha, ha, ha!","Ha, ha, ha, ha, ha, ha!"
2,I don't understand how freedom of speech will be prohibited.,Your freedom of speech will be no more prohibited than it is today.
2,The question needs to be asked.,It is a question that needs to be answered.
1,You purport to value life very heavily.,I purport to value human life very highly.
0,The Infestation posts.,The mosquitoes posts.
2,i don't want a president who 'cares'.,don't want a president that is compassionate.
1,do you have anything to make it less compelling or not?,Do you have anything to make it more compelling?
2,"For the trillionth time, I've never said rehabilitation doesn't work.","The point you quote should say ""I never said rehabilitation could never work."""
1,Classical Gas We are all vessels filled with many wonders.,Time of the Season by the Zombies We are all vessels filled with many wonders.
2,peeve So we agree that it came down essentially in freefall?,Do we agree that they came down essentially in freefall?
0,Pro-life people do not want a woman to be able to choose abortion for herself.,Pro-choice people do not try to force an abortion on anyone.
2,So answer the question.,Stop avoiding the question.
2,Haiti is a shithole.,Haiti has been a shithole.
0,I absolutely do believe there was an iceberg in those waters.,I don't believe there was any iceberg at all anywhere near the Titanic.
2,The Face Of The Franchise: The worst part is that he's not even a Leafs fan!,The worst part is that he's not even a Leafs fan!
2,I agree completely I am hoping he is into a second term of office.,I am hoping he is into a second term of office.
0,Jake with the assist.,Voracek with the goal.
2,Is it possible his home was affected and the school was not?,"Sure, it is possible his home was affected, but not the school."
2,The people had awakened.,Because the people had awakened.
2,Umm the California was a cargo ship I dont care what the article says.,The California was a cargo ship.
1,"Umm, that pretty clearly states, ""the statute is presumed constitutional.""","And until they decide that, ""the statute is presumed constitutional."""
2,Florida The ignorance is yours!,The ignorance is yours!
0,I'm going to shout for justice for Trayvon.,The people shouting for justice for Trayvon are all hypocrites.
1,How do you know what's right and wrong?,How do you know which story is the right one?
2,"Ha, ha, ha, ha, ha, ha!","Ah ha, ha, ha, ha, ha!"
0,And Nugent was a complete fool to say what he said.,Natalie was a complete fool to have insulted their fan base.
0,It is all Bush's fault.,Obama is Bush's fault.
1,You should stop prefixing or suffixing everything with you hate Jews.,"I don't prefix or suffix everything with ""you hate Jews."""
1,I missed the point where he said that black people were going to riot.,"Never, did I ever, did I say blacks were going to riot."
0,Yet you didn't have to declare it.,And you didn't have to.
2,Proverbs  John the Baptist was a Nazarite from birth.,John the Baptist was a Nazarite from birth.
1,James : says faith without works is dead.,Paul did not preach faith without works.
0, billion . Everyone in the world at Mexico's current prosperity level.,"Everyone in the world at the current ""prosperity"" level of Northwest Africa."
2,and videos Seismic data does not equal duration of collapse.,Seismic data does not equal duration of collapse.
1,Originally Posted by Lone Fox You've said that multiple times now.,Originally Posted by Lone Fox And it's not all Iranian related either.
1,"You might not like Obamas views, but he has them.","You might not like the positions he holds, but atleast he has them."
